# number of turbine/pump units
param bar_n := 10;

# number of time periods
param bar_t := 24;

# parameters
param : 	p_min_bound	p_max_bound	U_t	D_t	T_U	T_D		c		c_u				p0		v0	R_U		  R_D	  S_U	   S_D :=
1			80.2953		286.138		4	0	9	9	74715.9	74823.4934393001	155.535	1	86.5061	90.1884	80.2953	106.792749
2			51.0896		186.554		0	4	3	3	44788.8	44871.5889624943	0		0	60.4288	42.1108	51.0896	67.949168
3			54.2883		184.909		1	0	3	3	47853.8	47961.2965217623	108.802	1	44.3515	48.4724	54.2883	72.203439
4			79.9769		257.839		0	9	9	9	58418.5	58519.7017488608	0		0	71.0598	65.1525	79.9769	106.369277
5			56.1963		174.626		2	0	3	3	39552.1	39655.620652119		99.0579	1	40.3092	50.6534	56.1963	74.741079
6			33.7969		123.041		1	0	2	2	28774.4	28849.7441546069	65.1446	1	39.5743	26.7982	33.7969	44.949877
7			68.4379		197.628		0	3	3	3	51576.2	51671.216452423		0		0	53.3084	42.6403	68.4379	91.022407
8			77.376		308.971		0	4	9	9	75172.3	75288.7036955731	0		0	81.9178	87.0168	77.376	102.91008
9			73.8072		281.72		9	0	9	9	83357.5	83474.7010498795	118.073	1	69.5746	81.5444	73.8072	98.163576
10			30.8445		111.9		1	0	2	2	28594.8	28679.7935174558	40.6055	1	29.659	29.8871	30.8445	41.023185
;


# demand and spinning reserves
param : 	D		R :=
1		398.072	0.073848
2		314.044	0.0763072
3		167.79	0.0805212
4		221.249	0.0759234
5		301.743	0.109862
6		457.009	0.10506
7		598.506	0.0664387
8		751.109	0.0609338
9		864.499	0.061405
10		852.847	0.0978695
11		883.86	0.093026
12		969.043	0.0638451
13		880.203	0.0769283
14		520.694	0.0774711
15		651.676	0.107223
16		812.69	0.0652781
17		927.307	0.0797595
18		998.009	0.0661648
19		815.403	0.0996759
20		996.789	0.104921
21		794.394	0.0760169
22		523.74	0.101787
23		333.128	0.0747546
24		197.039	0.0898424
;
