# number of turbine/pump units
param bar_n := 10;

# number of time periods
param bar_t := 24;

# parameters
param : 	p_min_bound	p_max_bound	U_t	D_t	T_U	T_D	c	c_u	p0	v0	R_U	R_D	S_U	S_D :=
1	58.658	195.721	0	3	3	3	54665.1	55060.6566528332	0	0	43.8675	48.8517	58.658	78.01514
2	65.4893	164.409	3	0	3	3	40104.8	40468.9556109371	128.81	1	39.7988	42.4041	65.4893	87.100769
3	86.0256	238.368	2	0	9	9	57211.9	58125.5430938669	149.244	1	52.6618	49.2521	86.0256	114.414048
4	42.1708	106.518	0	2	2	2	22652.9	22883.26277305	0	0	26.8117	20.7082	42.1708	56.087164
5	39.8547	114.965	0	2	2	2	31342.8	31592.4076072047	0	0	22.7037	27.7389	39.8547	53.006751
6	40.0662	115.56	0	2	2	2	26463.5	26714.2250801898	0	0	27.7335	32.6929	40.0662	53.288046
7	46.2414	115.657	0	2	2	2	30909.9	31178.5036309057	0	0	22.0825	30.3589	46.2414	61.501062
8	49.2761	119.255	1	0	2	2	29148.9	29402.5959935085	79.1465	1	24.0649	27.1348	49.2761	65.537213
9	81.9607	230.701	0	4	9	9	62101.4	63098.0383934974	0	0	60.4058	53.7486	81.9607	109.007731
10	49.6802	119.847	1	0	2	2	32295	32549.9609294796	67.4428	1	29.5742	31.2307	49.6802	66.074666
;


# demand and spinning reserves
param : 	D	R
1		311.085	0.0688635
2		228.634	0.107755
3		176.607	0.0671423
4		205.895	0.0896268
5		300.724	0.109796
6		448.773	0.0902725
7		576.298	0.0795438
8		737.848	0.0843883
9		904.7	0.0679286
10		912.181	0.0994783
11		884.564	0.0961963
12		992.444	0.0692608
13		878.413	0.0747032
14		537.909	0.0986078
15		684.14	0.0966881
16		821.623	0.0710977
17		930.392	0.060381
18		1003.88	0.0886536
19		838.418	0.106424
20		1013.94	0.0962559
21		840.824	0.069794
22		532.151	0.105625
23		348.572	0.0793349
24		205.633	0.0982132
;
