# number of turbine/pump units
param bar_n := 20;

# number of time periods
param bar_t := 24;

# parameters
param : 	p_min_bound	p_max_bound	U_t	D_t	T_U	T_D	c	c_u	p0	v0	R_U	R_D	S_U	S_D:=
1	58.6056	154.012	3	0	3	3	45430.3	45822.5013943164	89.3265	1	31.3779	32.3655	58.6056	77.945448
2	94.2245	235.993	3	0	9	9	54851.5	55654.3354798438	132.15	1	56.014	52.1528	94.2245	125.318585
3	33.8477	100.292	0	4	2	2	23685	23927.6936249076	0	0	21.1476	25.329	33.8477	45.017441
4	83.5359	238.651	0	3	9	9	55401.7	56197.4882336767	0	0	65.1445	67.0301	83.5359	111.102747
5	85.366	297.225	2	0	9	9	76854.1	77704.6115349841	188.077	1	84.9004	85.2224	85.366	113.53678
6	64.3378	178.363	0	4	3	3	43361.7	43694.2724676039	0	0	46.8468	45.0126	64.3378	85.569274
7	95.3629	208.201	9	0	9	9	43265.2	44057.0486124014	120.275	1	39.8566	47.2646	95.3629	126.832657
8	52.5187	185.339	0	3	3	3	53472.8	53854.379085113	0	0	48.2192	58.3681	52.5187	69.849871
9	95.4282	294.093	9	0	9	9	74416.8	75346.8811017633	156.722	1	78.0362	71.8668	95.4282	126.919506
10	98.5756	284.843	0	2	9	9	63131.5	63947.4763361251	0	0	64.6504	79.81	98.5756	131.105548
11	43.7516	119.536	2	0	2	2	27724.3	27965.2819427778	105.42	1	25.1201	27.8415	43.7516	58.189628
12	32.5378	111.859	2	0	2	2	30270.9	30538.1604675106	65.6503	1	23.8145	25.3038	32.5378	43.275274
13	33.6165	110.356	0	2	2	2	29031.1	29271.123375691	0	0	32.2845	26.0418	33.6165	44.709945
14	34.2948	118.755	1	0	2	2	25141.8	25372.5801736676	41.6366	1	29.9058	28.1942	34.2948	45.612084
15	36.803	103.616	2	0	2	2	22259.9	22522.8566304041	48.487	1	26.0913	22.7334	36.803	48.94799
16	87.4172	310.952	0	9	9	9	81136.7	82115.7339779297	0	0	89.0881	93.7502	87.4172	116.264876
17	74.3817	307.956	0	4	9	9	70815.9	71605.4097514022	0	0	88.6395	80.2678	74.3817	98.927661
18	84.4293	248.877	0	2	9	9	72587.8	73556.1727073076	0	0	55.4632	65.4119	84.4293	112.290969
19	45.1212	104.767	0	1	2	2	29493.8	29753.5124734976	0	0	25.3408	18.3259	45.1212	60.011196
20	38.9416	106.008	0	4	2	2	24289.8	24541.1335423384	0	0	25.4787	25.1902	38.9416	51.792328
;


# demand and spinning reserves
param :	D	R :=
1	706.58	0.105374
2	309.994	0.091943
3	342.913	0.0901954
4	473.751	0.107089
5	654.196	0.0847861
6	933.355	0.0756006
7	1160.8	0.0834537
8	1584.86	0.0704228
9	1829.41	0.0699082
10	1973.6	0.102256
11	2021.77	0.108226
12	2118.9	0.0778526
13	1838.75	0.107272
14	1087.59	0.0985621
15	1347.2	0.0939889
16	1712.21	0.0695907
17	1932.34	0.0804201
18	1919.75	0.0853246
19	1768.01	0.095239
20	1912.2	0.0643729
21	1794.3	0.104939
22	1097.83	0.0711446
23	687.255	0.0867268
24	397.055	0.0649531
;
