# number of turbine/pump units
param bar_n := 50;

# number of time periods
param bar_t := 24;

# parameters
param :		p_min_bound	p_max_bound	U_t	D_t	T_U	T_D	c	c_u	p0	v0	R_U	R_D	S_U	S_D :=
1	505.684	77.7952	270.943	0	4	9	9	72819.2	73761.0179517854	0	0	77.4278	68.1735	77.7952	103.467616
2	424.968	89.9261	226.177	4	0	9	9	47834.6	48648.7634025727	157.196	1	47.9444	53.8144	89.9261	119.601713
3	286.207	57.4254	163.3	3	0	3	3	39169.6	39528.1277341707	102.113	1	32.0693	39.7246	57.4254	76.375782
4	134.38	33.1508	116.875	0	2	2	2	33247.5	33522.0406464116	0	0	32.6569	30.3657	33.1508	44.090564
5	125.345	31.5611	128.123	4	0	2	2	34105.2	34385.9830345787	75.0019	1	34.2116	42.2169	31.5611	41.976263
6	143.645	49.9758	106.505	0	2	2	2	24780.7	25023.5251828394	0	0	19.4285	18.5653	49.9758	66.467814
7	124.03	42.1401	117.324	2	0	2	2	31451.8	31709.4237047431	54.1761	1	25.104	24.1244	42.1401	56.046333
8	298.189	68.1559	189.727	0	3	3	3	53754.7	54119.3868405429	0	0	53.1954	51.1797	68.1559	90.647347
9	237.413	61.5659	190.718	3	0	3	3	53146.1	53534.2798353626	111.416	1	49.4145	50.7595	61.5659	81.882647
10	542.79	70.2455	269.07	0	9	9	9	60600.3	61462.9585392115	0	0	71.2347	61.9153	70.2455	93.426515
11	106.79	41.9397	110.144	4	0	2	2	22703.3	22942.323113602	76.9964	1	28.7661	23.8238	41.9397	55.779801
12	465.175	82.972	257.546	0	9	9	9	69413.7	70372.8799655646	0	0	66.6034	71.5627	82.972	110.35276
13	112.051	43.8231	116.789	0	3	2	2	30955.7	31228.2636467585	0	0	31.6195	23.9358	43.8231	58.284723
14	500.635	75.1256	216.041	4	0	9	9	50586.1	51397.1032265539	149.01	1	47.944	44.7467	75.1256	99.917048
15	120.101	42.0972	118.969	0	1	2	2	34869.1	35148.8059070967	0	0	23.999	25.102	42.0972	55.989276
16	140.588	45.14	117.937	0	4	2	2	31774.6	32052.6943580202	0	0	27.1685	30.0699	45.14	60.0362
17	243.036	65.3414	191.282	2	0	3	3	44358.8	44711.3226952938	82.5096	1	47.7949	53.5366	65.3414	86.904062
18	132.999	44.8993	115.187	3	0	2	2	28468	28719.4291353818	65.2675	1	25.1652	26.878	44.8993	59.716069
19	328.219	64.3693	175.862	4	0	3	3	44405.7	44773.0849415062	112.746	1	39.0556	49.9582	64.3693	85.611169
20	443.816	86.4143	300.776	0	2	9	9	80334.4	81335.2004733473	0	0	95.41	86.7298	86.4143	114.931019
21	319.461	61.9558	160.13	4	0	3	3	45167.4	45541.8372500944	95.6911	1	42.7339	33.2592	61.9558	82.401214
22	302.673	68.2516	155.614	4	0	3	3	38358.7	38707.3029186843	113.504	1	37.8291	27.885	68.2516	90.774628
23	469.357	95.9378	308.586	0	4	9	9	80141.9	80999.1855084487	0	0	76.4789	89.4355	95.9378	127.597274
24	126.038	35.0286	106.55	0	3	2	2	25211.9	25450.5535319175	0	0	31.4817	31.6307	35.0286	46.588038
25	116.803	37.6133	118.897	0	3	2	2	31510.5	31742.3921679622	0	0	29.555	28.3236	37.6133	50.025689
26	121.655	46.5487	121.718	1	0	2	2	35557.8	35819.1922298169	102.958	1	22.8263	25.2093	46.5487	61.909771
27	251.284	59.875	194.341	4	0	3	3	54161.8	54541.9308948103	82.1302	1	53.4843	51.7943	59.875	79.63375
28	108.556	44.374	111.363	0	1	2	2	30387.7	30656.5544414901	0	0	29.8298	25.5295	44.374	59.01742
29	338.321	59.7076	198.018	0	4	3	3	53162.4	53508.3790559306	0	0	57.1534	46.4068	59.7076	79.411108
30	133.361	41.3495	114.262	0	2	2	2	27799.8	28051.8779202345	0	0	29.066	31.0183	41.3495	54.994835
31	240.48	63.4888	199.446	3	0	3	3	47915	48287.7494003522	167.948	1	49.2261	43.7586	63.4888	84.440104
32	109.518	37.7315	124.752	1	0	2	2	31686	31948.9647290684	73.7566	1	33.8066	38.4262	37.7315	50.182895
33	252.926	55.9885	179.082	0	3	3	3	40033.4	40378.0502423954	0	0	55.0167	54.9639	55.9885	74.464705
34	147.013	49.4889	128.227	3	0	2	2	32157.2	32402.9540284905	88.3584	1	29.4459	27.3415	49.4889	65.820237
35	340.2	61.2412	178.118	4	0	3	3	42049.2	42388.9042201871	128.311	1	51.9645	43.1351	61.2412	81.450796
36	139.275	45.1747	124.239	0	2	2	2	36741.1	37008.4160759251	0	0	23.8651	33.9892	45.1747	60.082351
37	298.002	55.7121	179.453	3	0	3	3	39073.4	39419.7991236139	83.4973	1	50.4666	53.8096	55.7121	74.097093
38	408.871	71.3641	240.138	0	4	9	9	56202.3	56997.4285492485	0	0	75.7929	53.584	71.3641	94.914253
39	149.353	45.9243	105.185	2	0	2	2	26041.8	26321.4507598992	81.9366	1	24.0265	26.0306	45.9243	61.079319
40	343.66	60.9274	165.073	4	0	3	3	33987.9	34311.7359281258	78.0163	1	32.2587	33.226	60.9274	81.033442
41	520.278	70.1691	295.305	4	0	9	9	78843.5	79799.7677582167	172.09	1	76.0293	70.56	70.1691	93.324903
42	256.365	67.3682	194.647	0	3	3	3	43874.1	44238.559484357	0	0	45.1077	55.4243	67.3682	89.599706
